hour,electricity_MWh,thermal_MJ
0,60.93056891075922,102690.16476903489
1,37.93025526465368,111660.953143925
2,73.5921763872616,52047.30981241914
3,71.29083752823814,59020.890723141165
4,46.75594271295709,102045.57794041254
5,38.03799480241541,107257.69168833435
6,71.6067088978871,85522.74136325854
7,30.319293585841677,70092.66932224389
8,60.84634591878711,118683.03246191965
9,61.59067635083342,68186.25067449118
10,61.70028515498056,87798.97658010988
11,68.99226975755718,57488.64471788709
12,68.05139512510141,87888.66050732772
13,78.14960019294973,73931.05162270802
14,61.63109465669741,115241.96738570122
15,35.12548639953396,115605.99410655157
16,64.39428611504067,54748.59413736203
17,45.04817834734081,99572.04620516971
18,33.36753007343859,90751.93221233913
19,47.29415284764784,93464.0862437234
20,32.28710169062564,111007.57643066635
21,78.67444845886985,117821.44986999841
22,67.48259158714623,59106.036809144236
23,67.91315979645113,51721.084152116106
24,31.106177576449863,72652.71534046788
25,54.432159520233284,103928.51924654553
26,64.16476883032526,81213.18944637239
27,43.68133331408329,119798.71501103978
28,51.309065111798645,81597.09170307728
29,38.181191059583455,105636.66841249506
30,64.68411128907442,65453.87289521323
31,34.11905228079213,97634.95114522992
32,62.72556071405676,69128.16688987466
33,77.54317811252051,60574.052424663016
34,51.6167400521301,116053.11441173192
35,50.986365846306114,94696.816336486
36,49.87971989813971,69195.06416440691
37,79.19888239799141,78653.380442053
38,74.70496018395673,66096.82241237603
39,40.655235201254165,52179.38580191579
40,62.58334126879425,75796.84406066328
41,73.21791249198185,83124.69346840901
42,78.40967139573608,62986.78609921848
43,73.43115839778054,104361.77969542192
44,68.5460922322026,109134.82596818214
45,68.05119954714993,93835.42251419908
46,36.56224388411938,52276.83256438763
47,76.04239239078434,93165.52201645166
48,69.82686454880881,83706.5646058785
49,35.86540944811972,58763.00545417853
50,64.27826436144858,80121.41264296239
51,40.02623633501683,84411.61827190057
52,33.21044685375671,90737.99813400791
53,43.449670221754886,105829.13704460318
54,45.518097946178685,81865.41043572608
55,30.581026995405033,55071.28214561912
56,49.62467782033424,83595.71843019864
57,60.00102740596519,70416.38050965122
58,64.74909430632712,110208.56780324431
59,68.99254944466749,52773.317774385
60,54.02534736289145,57345.112489272244
61,42.10225079312637,119066.38152870025
62,37.12477714507566,84922.17074159492
63,60.90778671590596,99172.54793808729
64,57.982434174345705,50683.95931934286
65,46.3230654121996,86239.8150369298
66,34.39332495724167,74543.88518464266
67,31.660155439568328,55500.494800851455
68,49.8461638100798,59290.10278301423
69,58.37704241307791,98262.5478396086
70,70.02933495545415,64010.517097136704
71,38.37412911295349,57319.748823408016
72,61.821512477181834,99453.30085408308
73,31.579307241282102,115534.85723705828
74,32.59856418257362,87890.74347107494
75,65.45302597254582,110967.83866222599
76,65.70434660662139,106120.96581488542
77,46.972509627140305,107037.75796225586
78,34.00574231923376,112637.16592423694
79,57.37961880768681,107210.84389737455
80,52.615914225915006,95050.43866375675
81,56.320133046805665,101211.26652287322
82,34.08149910152948,54224.64587933946
83,42.355161700507324,61168.12760792318
84,73.58917832961009,65344.979115063106
85,78.79326279095656,73582.70542397749
86,39.10589578443496,105278.89549997353
87,62.935388775043805,84873.70015171974
88,57.76817754688156,100344.12447905846
89,41.422737066564935,119743.37412397194
90,78.73965810733915,95522.79804428559
91,39.97712254645725,97615.97697019039
92,33.60992044895879,52145.675154406425
93,42.884144425560685,82383.60697175215
94,73.41362527041903,100901.83488364157
95,67.13532605999904,79784.53341136528
96,47.29674962734815,75972.7134089222
97,79.3824781868029,52807.64339887377
98,73.35157480612243,90507.27860006754
99,51.930770959479524,100768.03622905957
100,54.33344707123514,111139.62666571623
101,75.03509320056293,79520.46488114187
102,43.841389861752575,91464.52300153536
103,75.61816728083454,64746.353230396664
104,61.14832917817414,94209.21540647643
105,66.65565112076405,59209.73795890818
106,65.79124823410443,113632.27644659487
107,38.984155443512094,66628.03274467144
108,78.56975470208198,62668.38668966429
109,72.71925466847895,84459.44995136243
110,42.36155372015885,110952.4930890758
111,52.265262750133274,86037.21477507832
112,47.96166846998828,91506.55960044492
113,38.17619362925114,77375.70756562325
114,78.47061611676438,68069.34028907893
115,62.83683322706461,72763.30449572863
116,68.67365628433004,59161.15625028449
117,78.49105225392724,81765.26789685476
118,41.8025231673232,55144.77231310088
119,38.48789525437704,86384.17639892123
120,46.850158821564314,108021.83561178266
121,51.54437618309029,67409.9990811341
122,60.8572493302015,99474.40518198122
123,38.35209539504749,61733.34514018224
124,31.83357134667715,101548.14105459483
125,63.190226381090255,83224.16130248697
126,72.20852244845986,106396.91070650372
127,59.267718219837604,110778.9896359281
128,40.292060501838414,57834.37335784095
129,43.48748057584948,53996.07992625204
130,56.5584764000516,115562.39846064731
131,31.967177033425482,58547.69398070188
132,52.60995141417176,115371.25122695335
133,45.807805248837525,85506.43660818748
134,32.0786429525196,60384.02406734622
135,79.33150614794235,117558.30875052318
136,30.246999046720482,116626.82497962673
137,61.95599689077502,110754.28061640155
138,52.736992781692955,86091.72200054751
139,54.44232901284601,96680.4980282273
140,36.98256273781564,52098.15129108746
141,45.396497079559545,99327.65339156527
142,40.09267260614742,97140.27033274421
143,78.49560230536352,56573.05010525929
144,63.630105911256315,81062.51535131998
145,73.40711271887527,62400.485261317015
146,64.63129761130823,108668.07027536772
147,77.23071097370116,97827.36198027521
148,54.858738200421364,93249.30681408496
149,73.44524922393592,89942.68226471808
150,31.51935298484184,115166.40868548845
151,64.47633755157806,97355.93700440726
152,40.78375761988586,96121.98291628601
153,49.69322028270793,95586.30839290444
154,35.32965151539953,96049.17132221253
155,79.97068628853333,53374.84272023892
156,78.85870921106587,78483.55725060095
157,73.53767251686295,104766.98388407915
158,58.35081304933339,101691.44464759286
159,73.92577806506739,78289.8225155723
160,46.35165807816193,96731.53698945092
161,70.39229709706294,103359.9594343631
162,69.89068244293173,80490.83203690531
163,70.89171080875107,58414.63387594259
164,57.22445489804248,50403.10623486851
165,46.22929149501351,75652.30744099786
166,49.808634580462765,98682.70446829035
167,49.42790506351729,81408.55358357714
