hour,kiln_temperature_C,pressure_kPa,O2_pct,CO_ppm,fuel_flow_kgph
0,1454.3960870994802,97.42824290986816,1.5101231676924374,244.7272462757488,10194.935157466345
1,1465.740210884813,107.625528307571,1.9485386189211196,740.9612992127823,8948.996349987201
2,1467.378933685111,96.89658840824144,2.7992657980944293,864.3010694447602,10630.451569201374
3,1436.9853836503094,101.72930926214154,2.2354316061188673,338.6821309135529,8975.958573516335
4,1448.8434743587884,102.70575987408321,3.2840931103542266,668.0247633975366,11179.245214166593
5,1491.016332385926,101.46882715075974,2.485035387637728,275.71868901824007,10889.808461046021
6,1433.9366125290833,103.41236207621593,3.3809171687058286,958.5357193023286,11659.457560881794
7,1448.138014166775,104.7017040897387,3.433309638087339,967.2579793803276,11412.03782186944
8,1437.298094228974,93.42576387657067,3.202273343033714,385.2298046406499,8677.97098674437
9,1460.6516386054593,101.46239435775549,2.892059593349946,613.0550530804285,8388.705975083074
10,1450.87313077669,95.28514851084688,3.254746143855911,766.691755978784,10788.062963981072
11,1435.6148785535984,107.91002302085971,2.0871836885289867,828.4250399306623,11240.453578716722
12,1457.7257152945908,120.26365745327361,3.0965903579335503,684.9675376999886,10807.867509030813
13,1453.484442372646,101.88090461026161,2.1759903137030716,438.02465737594963,8375.927759363476
14,1442.7195467825634,101.40937069693162,2.4311960362649203,588.380171236819,9146.165008513137
15,1443.7820229191516,101.40099356270407,1.5746963774984288,840.3405045936925,9440.762565645051
16,1450.9642002864318,95.61127611035347,3.0399871061972217,294.2389247471589,10491.561903276
17,1485.835539360887,110.21706879160267,2.774859802996413,753.4822003503954,11903.408317850139
18,1419.622861200136,101.93227157384713,3.090372389537407,343.74902613586676,9755.885682822543
19,1438.4227138336487,109.30650865304077,1.8465886401416916,240.79333840397743,9000.971592658381
20,1476.4818136042165,103.02490855480478,2.8203947534354628,351.94050725134855,11819.461122652776
21,1455.6594439819062,109.25675493239746,2.7234414924687043,477.6400561850109,8990.92395800463
22,1469.0036672377994,97.4616526719061,1.5287869772595117,204.46537645622462,8184.010568087011
23,1446.4391205819,110.36002840236152,1.695668321302003,542.4542876051491,9893.887083122263
24,1446.2114777291026,94.76108409017576,2.297009468794747,654.2650882469948,10540.374603470575
25,1448.0738178019044,98.67167614372727,2.7517198314284728,552.8226327220789,11425.95936475329
